"bedrock","zs","zb","depth","height","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
-795.76,0,0,112.52,112.52,1946.6,-0.10891,0,1.4603e+06,-90.015,0
-813.55,0,0,112.08,112.08,1977.1,-0.11139,0,1.4774e+06,-89.667,0
-832.02,0,0,111.67,111.67,2008.4,-0.11374,0,1.4952e+06,-89.333,0
-851.21,0,0,111.26,111.26,2040.6,-0.11597,0,1.5137e+06,-89.012,0
-871.15,0,0,110.88,110.88,2073.7,-0.11809,0,1.5329e+06,-88.704,0
-891.85,0,0,110.51,110.51,2107.6,-0.1201,0,1.5528e+06,-88.409,0
-913.35,0,0,110.16,110.16,2142.6,-0.122,0,1.5736e+06,-88.127,0
-935.69,0,0,109.82,109.82,2178.6,-0.12381,0,1.5951e+06,-87.857,0
-958.88,0,0,109.5,109.5,2215.6,-0.12551,0,1.6174e+06,-87.6,0
-982.98,0,0,109.19,109.19,2253.7,-0.12713,0,1.6406e+06,-87.354,0
-1008,0,0,108.9,108.9,2293,-0.12866,0,1.6647e+06,-87.119,0
-1034,0,0,108.62,108.62,2333.5,-0.1301,0,1.6898e+06,-86.896,0
-1061,0,0,108.35,108.35,2375.2,-0.13146,0,1.7158e+06,-86.684,0
-1089,0,0,108.1,108.1,2418.2,-0.13276,0,1.7428e+06,-86.482,0
-1118.2,0,0,107.86,107.86,2462.6,-0.13397,0,1.7709e+06,-86.291,0
-1148.4,0,0,107.64,107.64,2508.4,-0.13493,0,1.8e+06,-86.11,0
720,0,0,1665.1,2035.2,0,-0.15338,0,0,2755.2,0
677.37,0,0,1669.7,2040.7,3.4946,-0.15913,0,41069,2718.1,0
636.33,0,0,1667,2037.5,6.8473,-0.16689,0,80609,2673.8,0
596.81,0,0,1661.1,2030.2,10.104,-0.17106,0,1.1868e+05,2627,0
558.77,0,0,1653,2020.4,13.267,-0.17593,0,1.5533e+05,2579.1,0
522.14,0,0,1643,2008.1,16.39,-0.18145,0,1.9062e+05,2530.3,0
486.87,0,0,1631.7,1994.3,19.426,-0.18688,0,2.246e+05,2481.2,0
452.92,0,0,1619.1,1978.9,22.436,-0.19292,0,2.5731e+05,2431.9,0
420.22,0,0,1605.7,1962.5,25.375,-0.19874,0,2.888e+05,2382.7,0
388.75,0,0,1591.3,1944.9,28.296,-0.20522,0,3.1912e+05,2333.6,0
358.45,0,0,1576.3,1926.6,31.16,-0.21143,0,3.4832e+05,2285,0
329.27,0,0,1560.6,1907.4,34.01,-0.21833,0,3.7642e+05,2236.7,0
301.18,0,0,1544.5,1887.7,36.817,-0.22498,0,4.0349e+05,2188.9,0
274.14,0,0,1527.9,1867.4,39.613,-0.23229,0,4.2954e+05,2141.6,0
248.1,0,0,1511,1846.7,42.377,-0.23941,0,4.5463e+05,2094.8,0
223.03,0,0,1493.7,1825.6,45.133,-0.24717,0,4.7878e+05,2048.6,0
198.89,0,0,1476.1,1804.2,47.867,-0.25481,0,5.0203e+05,2003.1,0
175.65,0,0,1458.3,1782.4,50.595,-0.26304,0,5.2442e+05,1958.1,0
153.28,0,0,1440.4,1760.4,53.309,-0.27126,0,5.4597e+05,1913.7,0
131.74,0,0,1422.2,1738.3,56.021,-0.28002,0,5.6673e+05,1870,0
111,0,0,1403.9,1715.9,58.727,-0.28886,0,5.8671e+05,1826.9,0
91.031,0,0,1385.5,1693.4,61.434,-0.29822,0,6.0594e+05,1784.5,0
71.806,0,0,1367,1670.8,64.141,-0.30775,0,6.2446e+05,1742.6,0
53.296,0,0,1348.5,1648.1,66.854,-0.31777,0,6.423e+05,1701.4,0
35.475,0,0,1329.9,1625.4,69.572,-0.32806,0,6.5947e+05,1660.9,0
18.318,0,0,1311.2,1602.6,72.3,-0.33883,0,6.7599e+05,1620.9,0
1.7983,0,0,1292.5,1579.8,75.039,-0.34995,0,6.9191e+05,1581.6,0
-14.106,0,0,1273.9,1556.9,77.793,-0.36158,0,7.0723e+05,1542.8,0
-29.419,0,0,1255.2,1534.1,80.562,-0.37363,0,7.2198e+05,1504.7,0
-44.162,0,0,1236.5,1511.3,83.352,-0.38621,0,7.3619e+05,1467.1,0
-58.356,0,0,1217.8,1488.5,86.163,-0.39929,0,7.4986e+05,1430.1,0
-72.022,0,0,1199.2,1465.7,88.998,-0.41296,0,7.6303e+05,1393.7,0
-85.18,0,0,1180.6,1443,91.861,-0.42721,0,7.757e+05,1357.8,0
-97.848,0,0,1162.1,1420.3,94.753,-0.4421,0,7.8791e+05,1322.4,0
-110.04,0,0,1143.6,1397.7,97.679,-0.45765,0,7.9966e+05,1287.6,0
-121.79,0,0,1125.1,1375.1,100.64,-0.47393,0,8.1097e+05,1253.3,0
-133.09,0,0,1106.7,1352.6,103.64,-0.49096,0,8.2186e+05,1219.5,0
